epoch,reward
0,-0.046279087806277326
1,-0.0565114128498307
2,-0.04478437249112369
3,-0.047420125846945535
4,-0.04979283708862662
5,-0.052870576897442345
6,-0.05164031322257119
7,-0.05060184054020864
8,-0.04108850608049496
9,-0.04492327535061393
10,-0.04076647571222037
11,-0.05304770200961324
12,-0.04004553988692701
13,-0.039942321559283
14,-0.043641966353205885
15,-0.05031674825326571
16,-0.055959567135953237
17,-0.041929345575903956
18,-0.04536008321610175
19,-0.06744890640005034
20,-0.0543044849395432
21,-0.05223684491887161
22,-0.036784306186974244
23,-0.036133448347920524
24,-0.043060764290120485
25,-0.040181031900530836
26,-0.048220745170194465
27,-0.04200981793947388
28,-0.050463090909673027
29,-0.03648383964804655
30,-0.0442246155331801
31,-0.052354142642165716
32,-0.040233839860572114
33,-0.03365598127865994
34,-0.05144551782766572
35,-0.04211382823866748
36,-0.05121611054714807
37,-0.04970184730231544
38,-0.047768586832540046
39,-0.047465283078756776
40,-0.04074219270431995
41,-0.04509894897100319
42,-0.04215635094346671
43,-0.04924030635400365
44,-0.04518687895321996
45,-0.0383189786176575
46,-0.04425088047385215
47,-0.05069593768663199
48,-0.03886768036900066
49,-0.042468808944475966
50,-0.04359659201846106
51,-0.047026411425478906
52,-0.04150616614260269
53,-0.061009142485081734
54,-0.046155502957017217
55,-0.04088048440073724
56,-0.06024374379495979
57,-0.04741830122564532
58,-0.03587053405691412
59,-0.03849309968517886
60,-0.04100857693073055
61,-0.05251822085207215
62,-0.040614979880703506
63,-0.04766331280692758
64,-0.035953475967634235
65,-0.03749821336943554
66,-0.04354714297875031
67,-0.04849899416115227
68,-0.04557730475371192
69,-0.04738877013863036
70,-0.038154015334393526
71,-0.03479804247569319
72,-0.045804031987076436
73,-0.045454892970869645
74,-0.05085993834377921
75,-0.042979943915243284
76,-0.04994998887863318
77,-0.04251007371852989
78,-0.046549773915326935
79,-0.036663154284613475
80,-0.03565019051961283
81,-0.034167020807641245
82,-0.05308916653631901
83,-0.04692398604768522
84,-0.04241794496642849
85,-0.044444558685094115
86,-0.03963423288126059
87,-0.039409957701548974
88,-0.05796436488724068
89,-0.04840500622699658
90,-0.05197614123391169
91,-0.04064315439223123
92,-0.03720926265560477
93,-0.05377002342023445
94,-0.046808531819066926
95,-0.044712306191338105
96,-0.04469798122125013
97,-0.0411114362722586
98,-0.038331962363763565
99,-0.035557513754217826
100,-0.04390957488932754
101,-0.04459720836391838
102,-0.03763556086527277
103,-0.041173810690438864
104,-0.0343231506722499
105,-0.04302829370225681
106,-0.038753004721779644
107,-0.036244393100316186
108,-0.03990776062027882
109,-0.05198028109824551
110,-0.0435511676275091
111,-0.04102796398658061
112,-0.046668816023254164
113,-0.04617225434773562
114,-0.040999980839241376
115,-0.04394467555887559
116,-0.04106529855245478
117,-0.033439545708723345
118,-0.04005031448099888
119,-0.04712595236114488
120,-0.049864958272286874
121,-0.03652949792861662
122,-0.04248913025299415
123,-0.03960733529345803
124,-0.04285185007432843
125,-0.050956081399158304
126,-0.050268260195397985
127,-0.04147343764755669
128,-0.03999285135009832
129,-0.049839158501680574
130,-0.042953502707724446
131,-0.04065824179498107
132,-0.0486396555783266
133,-0.05136378207247185
134,-0.051128779274464
135,-0.05680485318734728
136,-0.04325694931092075
137,-0.04444711499203529
138,-0.048505329221877044
139,-0.042999465337684624
140,-0.03575962138789041
141,-0.03603558049509366
142,-0.04018293312034186
